Column_A	Column_B	Column_C
0.130745	0.942248	0.30504
0.461482	0.849432	0.101108
0.440169	0.137283	0.371939
0.605002	0.660725	0.222155
0.127021	0.0384897	0.643227
0.599044	0.148163	0.776656
0.132126	0.184764	0.430034
0.115337	0.645362	0.621062
0.441073	0.856553	0.279075
0.271099	0.853376	0.478048
0.944107	0.494038	0.314742
0.516643	0.780877	0.82717
0.445292	0.274654	0.743161
0.308588	0.96738	0.144311
0.469598	0.990529	0.0682651
0.779443	0.084449	0.532137
0.168813	0.329793	0.743955
0.022451	0.268299	0.835734
0.708729	0.215923	0.720663
0.60515	0.767022	0.887623
0.41368	0.365054	0.162853
0.91477	0.154017	0.20124
0.477181	0.165022	0.881962
0.916222	0.893364	0.461959
0.496907	0.94579	0.18705
0.927553	0.517467	0.724882
0.703651	0.0183734	0.883553
0.694642	0.419306	0.798011
0.0045936	0.122085	0.842972
0.540219	0.951848	0.538046
0.41297	0.27018	0.209589
0.62813	0.893653	0.530445
0.543536	0.895192	0.843302
0.215998	0.775532	0.21534
0.552105	0.908821	0.716726
0.862749	0.0166804	0.862668
0.00493932	0.959289	0.471264
0.125084	0.0752526	0.460504
0.775071	0.285133	0.942528
0.0203864	0.488117	0.628343
0.142633	0.970572	0.806387
0.320411	0.568113	0.40154
0.90475	0.27397	0.321394
0.614156	0.129083	0.378806
0.0158979	0.155192	0.718969
0.311394	0.268812	0.193064
0.192772	0.433889	0.489987
0.275468	0.395903	0.120771
0.0267102	0.425246	0.13992
0.83064	0.614389	0.947195
0.764278	0.446805	0.630943
0.721157	0.0120233	0.438656
0.822717	0.0342709	0.707762
0.764544	0.39877	0.529646
0.120567	0.97945	0.652427
0.384332	0.542769	0.778184
0.0279232	0.912387	0.618018
0.00130448	0.324159	0.502087
0.00699798	0.290517	0.485372
0.167784	0.878974	0.11015
0.150436	0.779144	0.91655
0.515494	0.394412	0.432619
0.418883	0.882326	0.426998
0.593813	0.425668	0.0292861
0.276981	0.466378	0.510426
0.592827	0.424931	0.963703
0.58514	0.45521	0.27535
0.12159	0.695425	0.743411
0.0785936	0.0955782	0.116803
0.0320662	0.73346	0.769331
0.168168	0.130018	0.765719
0.524171	0.496529	0.540766
0.841369	0.259658	0.169318
0.306412	0.591667	0.93012
0.191161	0.227618	0.208209
0.0651194	0.955118	0.0197606
0.94601	0.0630095	0.601611
0.244766	0.183247	0.607371
0.625404	0.624242	0.468855
0.206674	0.291406	0.596314
0.241743	0.137187	0.723459
0.743413	0.188933	0.408111
0.156004	0.956617	0.597614
0.823172	0.296613	0.42571
0.0939854	0.237203	0.121842
0.979798	0.660158	0.349953
0.653221	0.00429597	0.546746
0.284114	0.0781685	0.127099
0.867233	0.309584	0.0814966
0.0301398	0.223971	0.289457
0.760938	0.695289	0.676816
0.896177	0.700232	0.457042
0.618875	0.851815	0.499215
0.720746	0.55906	0.0584782
0.46385	0.570332	0.0736061
0.758886	0.53092	0.337877
0.00714197	0.858886	0.336071
0.193486	0.446346	0.98496
0.0914518	0.383381	0.751664
0.167933	0.595359	0.646531
